Date,Start Time,End Time,Arrival Time,Short Label,Event Type,Division,Home Team,Away Team,Location,Location Details
09/01/2025,3:30 PM,4:30 PM,,Fall warm-ups Other @ Richcraft-Canadian Tire,Other,,Fall warm-ups,,Richcraft-Canadian Tire: Richcraft-Canadian Tire,https://www.google.com/maps/place/813+Shefford+Road +Ottawa +ON+K1J+8H9
09/01/2025,2:30 PM,3:30 PM,,Fall warm-ups Other @ Richcraft-Canadian Tire,Other,,Fall warm-ups,,Richcraft-Canadian Tire: Richcraft-Canadian Tire,https://www.google.com/maps/place/813+Shefford+Road +Ottawa +ON+K1J+8H9
09/01/2025,1:30 PM,2:30 PM,,Fall warm-ups Other @ Richcraft-Canadian Tire,Other,,Fall warm-ups,,Richcraft-Canadian Tire: Richcraft-Canadian Tire,https://www.google.com/maps/place/813+Shefford+Road +Ottawa +ON+K1J+8H9
09/07/2025,8:00 AM,9:00 AM,,Sortouts - FUN3 Sortout @ Tom Brown,Sortout,,Sortouts - FUN3,,Tom Brown: Tom Brown,https://www.google.com/maps/place/141+Bayview+Station+Rd +Ottawa +ON+K1Y+4T1
09/07/2025,9:00 AM,10:00 AM,,Sortouts - FUN3 Sortout @ Tom Brown,Sortout,,Sortouts - FUN3,,Tom Brown: Tom Brown,https://www.google.com/maps/place/141+Bayview+Station+Rd +Ottawa +ON+K1Y+4T1
09/07/2025,10:00 AM,11:00 AM,,Sortouts - U12A Sortout @ Tom Brown,Sortout,,Sortouts - U12A,,Tom Brown: Tom Brown,https://www.google.com/maps/place/141+Bayview+Station+Rd +Ottawa +ON+K1Y+4T1
09/06/2025,9:00 AM,10:00 AM,,Sortouts - U12A Sortout @ Tom Brown,Sortout,,Sortouts - U12A,,Tom Brown: Tom Brown,https://www.google.com/maps/place/141+Bayview+Station+Rd +Ottawa +ON+K1Y+4T1
09/03/2025,6:00 PM,7:00 PM,,Sortouts - U14B Sortout @ Brewer,Sortout,,Sortouts - U14B,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/04/2025,6:00 PM,7:00 PM,,Sortouts - U12A Sortout @ Brewer,Sortout,,Sortouts - U12A,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/03/2025,7:00 PM,8:00 PM,,Sortouts - U14B Sortout @ Brewer,Sortout,,Sortouts - U14B,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/04/2025,7:00 PM,8:00 PM,,Sortouts - U12A Sortout @ Brewer,Sortout,,Sortouts - U12A,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/03/2025,8:00 PM,9:00 PM,,Ottawa Ice - U16A - Stachon Practice @ Brewer,Practice,,Ottawa Ice - U16A - Stachon,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
09/04/2025,8:00 PM,9:00 PM,,Ottawa Ice - U14AA - Gore Practice @ Brewer,Practice,,Ottawa Ice - U14AA - Gore,,Brewer: Brewer,https://www.google.com/maps/place/151+Brewer+Way +Ottawa +ON+K1S+5T1
